SALES BAR CHART
(Each X equals 1,000 dollars)
store 1: XXXX
store 2: XXXXX
store 3: XXXXX
store 2: XXXXXXXXXX
store 2: XXXXXXXXXXXXXXXXXXXXXXXXX
store 3: XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
store 4: XXXXXXXXXXXXXXXXXXXXXXXXXXXXX
store 5: XXXXXXXX
store 6: XXXXX
store 10: XXXXXXXXXX
store 12: XXXXXXXXXXXXXXX
store 30: XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
store 31: XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
store 32: XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
store 67: XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
store 99: XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
store 99: XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
